Week,ice cream,Volleyball,tennis,full moon
2012-12-08,16,12,17,13
2012-12-15,16,9,16,13
2012-12-22,19,7,16,44
2012-12-29,18,9,18,19
2013-01-05,18,12,20,14
2013-01-12,18,12,26,16
2013-01-19,18,12,32,33
2013-01-26,17,11,24,31
2013-02-02,17,11,21,14
2013-02-09,18,11,22,15
2013-02-16,18,12,23,19
2013-02-23,18,12,24,44
2013-03-02,18,12,25,14
2013-03-09,20,12,31,15
2013-03-16,20,11,27,18
2013-03-23,21,11,30,51
2013-03-30,20,11,28,13
2013-04-06,22,12,25,16
2013-04-13,21,11,25,16
2013-04-20,23,12,26,64
2013-04-27,24,12,25,15
2013-05-04,25,11,27,15
2013-05-11,27,11,28,17
2013-05-18,28,10,27,46
2013-05-25,31,11,34,23
2013-06-01,30,11,38,16
2013-06-08,31,10,31,19
2013-06-15,31,11,26,45
2013-06-22,33,11,34,40
2013-06-29,40,11,38,13
2013-07-06,32,12,34,16
2013-07-13,35,10,27,23
2013-07-20,36,11,27,57
2013-07-27,30,12,27,15
2013-08-03,29,12,28,19
2013-08-10,28,14,33,20
2013-08-17,25,16,33,67
2013-08-24,24,18,57,13
2013-08-31,24,20,78,16
2013-09-07,20,20,52,19
2013-09-14,19,19,24,66
2013-09-21,18,19,23,15
2013-09-28,17,19,24,15
2013-10-05,17,19,23,18
2013-10-12,16,20,22,59
2013-10-19,16,21,22,22
2013-10-26,14,21,22,15
2013-11-02,15,22,22,16
2013-11-09,16,22,21,34
2013-11-16,15,18,18,39
2013-11-23,16,13,17,10
2013-11-30,14,13,18,13
2013-12-07,14,12,18,17
2013-12-14,15,11,17,48
2013-12-21,17,8,17,12
2013-12-28,17,9,21,16
2014-01-04,18,11,21,17
2014-01-11,16,12,28,58
2014-01-18,18,12,34,16
2014-01-25,18,11,23,16
2014-02-01,17,11,21,16
2014-02-08,18,11,20,42
2014-02-15,18,12,22,20
2014-02-22,18,12,24,16
2014-03-01,19,11,24,17
2014-03-08,21,12,31,34
2014-03-15,21,12,28,38
2014-03-22,21,12,31,16
2014-03-29,22,12,26,18
2014-04-05,24,12,24,24
2014-04-12,24,11,25,48
2014-04-19,23,11,27,13
2014-04-26,24,11,24,16
2014-05-03,25,11,27,18
2014-05-10,28,11,28,52
2014-05-17,28,11,28,15
2014-05-24,32,11,33,16
2014-05-31,31,12,36,19
2014-06-07,30,12,31,100
2014-06-14,31,11,26,16
2014-06-21,32,11,31,15
2014-06-28,40,11,36,18
2014-07-05,35,11,33,60
2014-07-12,35,12,26,28
2014-07-19,38,12,27,16
2014-07-26,34,13,27,19
2014-08-02,31,13,29,40
2014-08-09,28,15,30,44
2014-08-16,27,17,31,13
2014-08-23,25,19,54,18
2014-08-30,25,21,77,23
2014-09-06,21,23,44,58
2014-09-13,20,23,23,14
2014-09-20,20,21,22,17
2014-09-27,18,22,22,20
2014-10-04,17,21,21,58
2014-10-11,17,21,20,12
2014-10-18,17,21,22,15
2014-10-25,15,22,20,17
2014-11-01,15,23,19,55
2014-11-08,15,23,20,15
2014-11-15,15,18,19,12
2014-11-22,16,13,17,12
2014-11-29,14,14,18,34
2014-12-06,15,12,18,25
2014-12-13,16,12,18,12
2014-12-20,18,8,16,13
2014-12-27,18,9,17,25
2015-01-03,16,11,21,45
2015-01-10,17,13,20,14
2015-01-17,18,12,28,17
2015-01-24,19,12,31,19
2015-01-31,18,12,22,50
2015-02-07,18,12,21,17
2015-02-14,19,12,21,15
2015-02-21,20,12,22,17
2015-02-28,21,12,21,54
2015-03-07,24,12,25,18
2015-03-14,27,12,30,18
2015-03-21,24,12,28,18
2015-03-28,25,11,28,46
2015-04-04,26,11,25,24
2015-04-11,27,12,26,16
2015-04-18,34,12,26,17
2015-04-25,29,12,24,30
2015-05-02,30,11,25,50
2015-05-09,30,11,27,15
2015-05-16,31,11,26,18
2015-05-23,36,12,31,21
2015-05-30,32,12,36,55
2015-06-06,34,12,29,15
2015-06-13,35,12,25,18
2015-06-20,36,12,24,21
2015-06-27,41,11,34,69
2015-07-04,38,11,42,15
2015-07-11,38,12,33,18
2015-07-18,50,12,25,20
2015-07-25,38,12,25,72
2015-08-01,37,13,26,18
2015-08-08,34,15,28,15
2015-08-15,32,18,31,18
2015-08-22,28,21,31,61
2015-08-29,29,22,78,34
2015-09-05,28,23,100,16
2015-09-12,24,22,45,20
2015-09-19,23,22,23,37
2015-09-26,20,22,21,48
2015-10-03,20,22,21,12
2015-10-10,20,22,21,17
2015-10-17,19,22,21,21
2015-10-24,17,23,20,73
2015-10-31,18,24,21,14
2015-11-07,18,25,19,16
2015-11-14,21,20,20,15
2015-11-21,20,13,18,63
2015-11-28,16,15,18,13
2015-12-05,17,14,18,17
2015-12-12,18,14,18,19
2015-12-19,20,9,16,67
2015-12-26,21,8,17,16
2016-01-02,19,12,21,14
2016-01-09,19,12,19,17
2016-01-16,22,12,28,39
2016-01-23,21,12,29,34
2016-01-30,21,12,22,15
2016-02-06,19,12,20,17
2016-02-13,21,12,22,26
2016-02-20,22,12,23,58
2016-02-27,22,13,22,15
2016-03-05,25,13,26,19
2016-03-12,27,12,28,20
2016-03-19,27,12,27,66
2016-03-26,25,14,27,17
2016-04-02,26,13,24,18
2016-04-09,28,13,26,20
2016-04-16,31,13,26,68
2016-04-23,29,13,24,20
2016-04-30,29,12,24,18
2016-05-07,31,13,26,64
2016-05-14,32,12,25,47
2016-05-21,36,12,29,33
2016-05-28,40,12,31,16
2016-06-04,38,11,28,18
2016-06-11,39,11,24,33
2016-06-18,42,12,23,83
2016-06-25,43,12,34,14
2016-07-02,44,11,40,18
2016-07-09,44,12,29,25
2016-07-16,53,12,24,87
2016-07-23,43,11,25,16
2016-07-30,41,18,28,19
2016-08-06,36,60,52,23
2016-08-13,36,64,37,87
2016-08-20,34,30,29,19
2016-08-27,33,24,45,16
